key	name	hemi	roi	color	origin_name	rs_network
352	TGv_l	l	TGv	41 51 40	L_TGv_ROI	5
353	MBelt_l	l	MBelt	185 28 23	L_MBelt_ROI	2
354	LBelt_l	l	LBelt	235 21 28	L_LBelt_ROI	2
355	A4_l	l	A4	152 43 6	L_A4_ROI	2
356	STSva_l	l	STSva	38 36 22	L_STSva_ROI	7
357	TE1m_l	l	TE1m	59 45 42	L_TE1m_ROI	7
358	PI_l	l	PI	116 48 46	L_PI_ROI	4
359	a32pr_l	l	a32pr	133 69 90	L_a32pr_ROI	4
360	p24_l	l	p24	122 37 73	L_p24_ROI	4

